EntrezGeneID	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
210417	4	12	2	1	1	1	0	0	0	0	0	0
100042740	185	232	209	197	121	118	298	267	210	193	70	80
13137	40	37	26	7	11	9	375	347	302	362	219	200
13136	176	216	101	96	72	69	1991	2008	1480	1749	882	967
22789	0	0	0	0	0	0	0	0	0	0	0	0
12269	1	0	0	0	0	0	1	0	0	0	0	0
12270	1	3	3	2	6	1	9	11	8	10	4	3
18640	984	1039	1418	1216	1000	909	2466	2280	3457	3587	1821	1848
226418	666	1114	1170	1179	469	335	956	759	835	1097	543	497
212439	53	48	73	68	37	45	935	759	746	881	325	303
64435	1	0	3	1	0	2	7	8	32	29	136	118
100502856	0	0	0	0	2	1	5	3	32	27	91	74
18703	16	14	955	454	692	603	426	737	17003	13102	28548	30048
69169	4	8	2	0	0	0	5	3	1	1	0	1
93672	317	863	482	420	148	94	44	96	478	356	15	7
58181	0	0	0	0	0	0	0	1	0	2	0	0
329244	26	38	29	30	29	17	1	2	3	1	0	1
16153	15	15	32	29	12	6	3	4	4	4	2	6
17164	7693	8774	10227	9067	7366	6286	5364	5998	3985	3768	1174	1036
226419	473	375	301	222	89	102	931	833	1150	1005	329	297
16865	890	692	803	737	743	769	963	988	937	846	652	592
54354	604	535	572	521	516	381	322	373	338	349	39	62
56489	803	726	504	438	640	801	209	186	185	130	235	262
14270	989	972	821	680	649	714	713	797	454	527	229	200
108900	57	45	25	22	21	29	36	28	18	9	13	9
26361	1	0	1	0	0	0	0	0	1	0	0	0
13034	1	4	13	9	1	2	100	179	295	202	255	260
226421	186	162	169	125	82	116	864	1698	1958	1954	1040	1100
320718	261	177	68	53	16	31	419	422	645	666	207	173
212933	263	401	771	750	474	544	98	96	106	128	145	166
98396	6593	6959	7301	7084	6203	5382	3175	3232	3403	2998	4135	5445
226422	81	67	126	163	229	245	121	171	124	127	45	49
98415	1642	1526	1570	1268	1080	950	2206	2147	1482	959	986	997
212980	258	249	307	243	155	103	1993	1971	1483	1434	600	643
13714	1185	1195	1271	1129	840	706	1123	1036	876	775	264	249
213006	318	273	318	321	241	200	304	354	280	230	882	968
18557	458	409	993	954	561	489	1069	1625	1225	1146	829	885
723818	0	0	0	0	0	0	0	0	0	0	0	0
213409	0	2	2	0	0	0	0	0	0	0	0	0
213417	8	11	34	15	7	6	39	58	120	54	6	10
74137	533	697	1568	1249	423	332	581	713	657	858	163	130
68875	465	389	292	254	229	249	551	504	34	30	42	29
213452	1139	1044	974	880	988	929	1031	1047	329	355	313	304
213464	451	338	271	233	298	288	587	708	558	442	353	385
74626	59	41	27	31	45	62	46	42	26	28	15	21
21367	2194	2620	341	574	138	122	2	7	1	4	1	2
269116	38	41	83	95	14	11	9	22	74	154	62	64
100038653	0	0	0	0	0	0	0	0	0	0	0	0
16980	534	278	141	163	495	459	37	64	1	9	1	6
17248	938	860	772	736	990	967	1031	1005	687	674	430	480
240752	603	388	459	374	628	670	617	587	434	486	587	694
108954	4658	4272	4757	4036	4694	2926	3148	3328	2839	2286	2329	2063
240753	408	445	409	584	519	574	4092	3926	1754	1851	1108	1377
100502933	1	0	1	0	1	0	25	21	10	20	8	11
68338	0	1	1	0	0	1	1	0	10	12	0	0
280287	0	0	3	0	0	2	2	5	12	5	0	1
19701	12	6	9	5	6	6	4	1	3	0	0	0
214253	88	53	38	40	44	31	36	68	38	25	5	4
20668	1081	751	589	368	234	296	668	707	440	253	162	174
20643	432	431	396	387	270	260	644	534	432	352	176	161
70579	6858	7126	7530	6823	6769	5888	6500	6648	5431	5215	2240	1946
667118	2763	2394	3134	3006	2519	2235	2911	2579	2392	2301	1053	912
240754	32	40	30	52	228	197	11	5	2	6	0	0
381290	1352	1171	1668	1795	7334	5880	181	196	32	32	20	17
269120	111	147	325	403	756	639	13	10	0	0	3	1
116847	10516	11759	2680	3696	5994	6666	1815	2049	51	66	31	49
100502984	0	0	9	14	14	12	0	0	0	0	0	0
14264	2306	3097	27529	24157	11835	9591	5	10	60	39	8	17
100502999	16	7	11	14	17	15	5	11	1	8	3	4
12227	43603	27763	17228	17394	21260	28792	19801	20807	5874	6087	7395	9040
667414	6	6	4	4	3	5	12	5	15	8	1	4
71884	4	1	0	3	4	2	28	20	12	14	7	5
12654	8912	11580	4786	5395	1007	734	3095	2871	140	122	94	76
53311	933	1281	991	1092	233	182	64	60	8	3	3	5
11539	283	187	237	216	114	108	122	83	66	49	19	6
17928	3	0	0	1	1	0	0	0	0	0	0	0
68507	57	109	100	69	47	38	14	28	34	22	26	27
57439	1904	1709	1756	1435	1245	1174	2573	2557	3024	2666	1500	1641
240755	0	0	0	0	0	0	1	0	0	0	0	0
72017	652	481	489	394	360	282	837	837	1030	864	698	774
72674	2001	2112	2036	1835	1998	1912	2673	2986	2373	2194	1466	1425
100861791	0	0	0	0	0	0	0	0	0	0	0	0
240756	402	362	276	264	365	350	608	529	305	243	247	222
98710	463	454	315	306	221	646	614	743	410	391	177	264
100503055	2	2	2	1	3	0	1	5	2	2	1	1
71001	0	0	1	0	0	1	0	2	0	0	0	0
75605	3887	3329	3088	2194	1972	2070	3055	3893	3884	3835	668	637
20980	6	4	4	10	16	21	6	3	0	0	2	1
329251	552	369	802	957	1547	1663	203	214	158	107	79	76
67196	44	34	41	35	24	25	50	66	23	18	38	19
329252	3756	3081	3894	2988	2139	2178	1033	1043	1165	620	26	31
13924	487	188	265	116	58	58	775	578	1421	884	103	88
100038590	0	0	0	0	0	2	1	1	2	2	4	4
320139	13	1	7	5	4	9	5	5	13	2	4	3
68724	1053	933	1003	875	1254	1161	1556	1833	1403	1568	447	401
171469	14	12	0	2	1	1	1	4	0	0	2	0
13710	2322	1489	1050	841	1131	1203	8054	8038	2447	3315	1739	1444
215615	1272	1128	738	586	729	741	2719	3199	1623	1495	544	535
21854	509	474	627	545	436	383	690	666	542	512	410	450
93689	3287	2678	4520	5198	9098	9286	125	189	54	128	27	35
77552	383	179	344	392	832	887	104	93	54	70	110	63
226432	2398	1929	2126	1730	1876	1818	1809	1704	1324	1001	1033	1026
215690	994	799	683	589	766	662	405	416	76	47	30	59
13007	39167	34423	65123	80746	96263	86626	7453	10004	4140	5312	1076	1035
27280	1930	2056	3107	2855	2077	1869	273	296	92	77	20	14
21952	8	4	8	4	6	4	1	2	0	0	0	0
16763	456	446	329	319	74	56	2607	3152	643	691	235	248
21956	32	20	12	11	14	10	53	93	12	10	4	2
18772	6944	7697	6304	7997	6099	4987	1169	1512	112	153	26	22
226438	0	2	0	0	1	0	0	0	0	0	0	0
66241	760	829	754	667	540	572	742	948	575	571	369	360
12292	3	1	0	0	1	0	1	0	0	0	0	0
329253	0	0	0	0	0	0	0	0	0	0	0	0
16565	115	134	538	570	898	901	211	319	52	90	202	183
76422	29	30	42	44	48	49	9	13	3	3	12	8
67313	1472	1828	1632	2049	1384	1220	882	918	161	222	129	175
100042513	0	0	0	0	0	0	0	0	0	0	0	0
383563	0	4	5	0	0	0	5	5	0	0	0	1
67886	2703	2905	3436	3185	2920	2793	2099	2238	1715	1502	516	580
320054	3	5	7	8	4	6	8	11	9	2	1	2
67997	146	162	191	200	203	206	171	182	105	102	59	45
381293	109	101	109	97	32	24	103	123	100	65	149	107
71084	0	0	0	0	0	0	0	0	0	0	0	0
226442	1330	1210	3444	2958	2912	2516	953	1016	820	764	213	219
100503460	4	8	12	13	20	16	6	11	9	11	3	9
100503474	3	2	6	12	14	10	1	2	0	0	0	0
667686	73	79	97	66	46	62	88	86	65	40	13	19
26424	11	22	8	6	5	8	3	4	1	0	0	1
320138	0	0	0	0	0	0	0	0	0	0	0	0
735252	0	0	0	0	0	0	0	0	0	0	0	0
723890	0	0	0	0	0	0	0	0	0	0	0	0
19264	12	15	24	20	8	2	8	4	9	7	9	11
338375	0	0	0	0	0	0	0	0	0	0	0	0
59125	2077	1957	2079	2571	3572	3406	11122	9932	1781	1939	2379	2265
545363	0	0	0	0	0	0	0	0	0	0	0	0
16876	1	0	0	0	1	1	0	1	0	0	0	0
69549	27	39	30	39	19	30	58	67	70	67	34	39
75546	0	0	0	0	0	0	0	0	0	0	0	0
329260	531	527	390	357	427	363	682	671	607	595	723	719
170788	0	0	0	0	1	0	0	0	0	0	0	0
71209	0	0	0	0	0	0	0	0	0	0	2	0
226470	968	925	1017	967	830	767	1018	1022	786	645	736	746
12316	249	283	210	133	55	53	203	251	150	72	193	119
14060	0	0	0	0	0	0	0	1	0	0	0	0
50702	0	0	0	0	1	0	0	0	0	0	0	0
624286	0	0	0	0	0	0	1	0	0	0	0	0
214403	6	6	1	3	3	1	1	0	1	0	0	0
545366	5	7	0	4	0	0	3	0	0	1	0	0
12628	73	126	24	54	25	14	62	33	4	1	1	3
240776	6	7	1	1	0	1	1	1	0	0	0	0
75910	0	0	0	0	0	0	0	0	0	0	0	0
226472	0	0	0	0	1	0	0	0	0	0	0	0
214498	1126	1084	1261	1017	860	837	1229	1224	983	942	653	614
26878	6	2	6	1	1	2	2	0	3	1	13	16
69367	275	247	363	355	373	324	383	308	222	179	183	203
20822	649	594	522	540	806	722	541	553	184	192	161	156
56207	640	461	529	471	445	390	843	823	899	615	854	829
19735	3648	3265	5564	5272	4929	5032	1372	1651	211	183	225	269
100861894	0	0	0	0	0	0	0	0	0	0	0	0
246709	1	0	1	0	1	1	0	0	0	0	0	0
50778	16	11	64	53	14	8	6	6	14	6	16	13
624910	0	0	0	0	0	0	0	0	0	0	0	0
64214	0	2	2	2	7	5	0	0	0	0	0	0
215378	265	268	230	507	104	159	0	0	0	5	0	1
100043240	17	23	12	9	10	3	73	77	34	28	15	13
791353	0	0	0	0	0	0	0	0	0	0	0	0
100503781	0	0	0	0	0	0	0	0	0	0	0	0
18783	516	484	257	235	374	315	1262	949	304	239	222	279
320019	0	0	0	0	2	1	0	0	0	0	0	0
19225	1526	1677	1193	1162	1481	2171	551	620	129	165	112	92
100043257	3800	3717	3547	2803	1747	1815	3268	3371	2717	2288	1362	1394
100043261	3	1	0	0	0	0	3	10	1	0	1	1
20028	0	0	0	0	0	0	0	0	0	0	0	0
75584	0	0	0	0	0	0	0	0	0	0	0	0
226499	737	767	787	786	1025	1002	592	632	700	646	1178	1246
108989	4396	3740	3640	3167	3518	3252	3732	3664	3144	2803	1786	1845
96875	7	8	8	12	10	15	11	11	12	3	2	2
545370	3399	3888	1434	1474	3881	3527	27	45	7	5	9	13
402734	0	0	0	0	0	0	0	0	0	0	0	0
73176	0	0	0	0	0	0	0	0	0	0	0	0
117198	8338	7886	7502	4960	2410	2258	8596	7952	9114	7164	4491	4689
66875	534	482	288	245	337	374	385	369	321	334	199	177
98685	245	233	183	132	203	276	297	423	229	199	136	167
19821	1925	1812	1511	1415	1484	1323	1356	1477	939	886	333	368
100503012	264	249	386	391	258	217	518	469	456	454	484	450
